u1	like	i1
u1	like	i6
u1	like	i12
u1	like	i13
u1	like	i15
u1	like	i16
u1	mostly_like	i18
u1	like	i19
u1	mostly_like	i22
u1	mostly_like	i23
u1	mostly_like	i25
u1	mostly_like	i28
u1	like	i32
u1	mostly_like	i39
u1	like	i42
u1	like	i44
u1	like	i45
u1	mostly_like	i51
u1	like	i55
u1	like	i57
u1	mostly_like	i58
u1	like	i59
u1	like	i60
u1	mostly_like	i61
u1	like	i64
u1	mostly_like	i66
u1	mostly_like	i68
u1	mostly_like	i72
u1	mostly_like	i75
u1	mostly_like	i76
u1	mostly_like	i77
u1	mostly_like	i79
u1	mostly_like	i80
u1	like	i81
u1	like	i82
u1	like	i86
u1	like	i87
u1	mostly_like	i88
u1	like	i89
u1	mostly_like	i90
u1	like	i91
u1	like	i93
u1	mostly_like	i95
u1	like	i96
u1	mostly_like	i98
u1	like	i100
u1	mostly_like	i106
u1	mostly_like	i107
u1	like	i108
u1	like	i109
u1	like	i111
u1	like	i114
u1	like	i115
u1	mostly_like	i121
u1	mostly_like	i123
u1	like	i124
u1	like	i127
u1	mostly_like	i128
u1	like	i129
u1	mostly_like	i133
u1	mostly_like	i134
u1	mostly_like	i135
u1	like	i137
u1	mostly_like	i146
u1	like	i150
u1	mostly_like	i151
u1	like	i152
u1	like	i154
u1	mostly_like	i156
u1	mostly_like	i157
u1	mostly_like	i160
u1	mostly_like	i162
u1	mostly_like	i163
u1	like	i166
u1	like	i168
u1	like	i170
u1	like	i171
u1	like	i173
u1	like	i174
u1	like	i175
u1	like	i176
u1	like	i177
u1	like	i178
u1	like	i181
u1	mostly_like	i182
u1	like	i183
u1	mostly_like	i185
u1	mostly_like	i186
u1	mostly_like	i187
u1	like	i191
u1	mostly_like	i192
u1	mostly_like	i194
u1	like	i195
u1	like	i196
u1	like	i197
u1	like	i198
u1	mostly_like	i199
u1	like	i202
u1	like	i204
u1	mostly_like	i206
u1	like	i207
u1	like	i208
u1	mostly_like	i209
u1	mostly_like	i210
u1	mostly_like	i214
u1	like	i216
u1	like	i221
u1	mostly_like	i222
u1	like	i223
u1	like	i224
u1	mostly_like	i227
u1	like	i228
u1	mostly_like	i229
u1	mostly_like	i230
u1	mostly_like	i234
u1	mostly_like	i236
u1	mostly_like	i238
u1	mostly_like	i239
u1	like	i242
u1	like	i246
u1	mostly_like	i248
u1	mostly_like	i249
u1	mostly_like	i250
u1	mostly_like	i251
u1	like	i253
u1	mostly_like	i256
u1	mostly_like	i257
u1	like	i258
u1	mostly_like	i265
u1	like	i268
u1	like	i270
u2	mostly_like	i1
u2	mostly_like	i13
u2	mostly_like	i14
u2	mostly_like	i25
u2	like	i50
u2	like	i100
u2	mostly_like	i111
u2	mostly_like	i237
u2	like	i242
u2	like	i251
u2	mostly_like	i255
u2	mostly_like	i257
u2	like	i272
u2	mostly_like	i273
u2	mostly_like	i276
u2	mostly_like	i277
u2	mostly_like	i282
u2	like	i283
